SECTION E — PAGE 2E
WIRING DIAGRAM COLOR CODE

100 ID | 200 ID | SOLID COLOR WIRE | TRACER
A1     | A      | Tan              | Brown
A6     | B      | Red              | Brown
B1     | C      | Orange           | Brown
B6     | D      | Yellow           | Brown
C1     | E      | Lt. Green        | Brown
C6     | F      | Lt. Blue         | Brown
D1     | G      | Purple           | Brown
D6     | H      | Gray             | Brown
E1     | J      | White            | Brown
E6     | K      | Pink             | Brown
F1     | L      | Brown            | Black
F6     | M      | Red              | Black
G1     | N      | Orange           | Black
G6     | P      | Yellow           | Black
H1     | Q      | Lt. Green        | Black
H6     | R      | Lt. Blue         | Black
J1     | S      | Purple           | Black
J6     | T      | Gray             | Black
K1     | U      | White            | Black
K6     | V      | Tan              | Black

100 ID | 200 ID | SOLID COLOR WIRE | TRACER
1      | 1      | Brown            | Orange
2      | 2      | Red              | Orange
—      | 3      | Tan              | Orange
4      | 4      | Yellow           | Orange
5      | 5      | Lt. Green        | Orange
—      | 6      | Lt. Blue         | Orange
—      | 7      | Purple           | Orange
—      | 8      | Gray             | Orange
—      | 9      | White            | Orange
—      | 0      | Black            | Orange

100-200 ID | SOLID COLOR WIRE | TRACER
19         | White            | Purple
21         | Brown            | Red
22         | Tan              | Red
23         | Orange           | Red
24         | Yellow           | Red
25         | Lt. Green        | Red
26         | Lt. Blue         | Red
27         | Purple           | Red
28         | Gray             | Red
29         | White            | Red
30-130     | Black            | Red
31         | Tan              | None
32         | Red              | None
33         | Orange           | None
34         | Yellow           | None
35         | Dr. Green        | None
36         | Dr. Blue         | None
37         | Purple           | None
38         | Gray             | None
39         | White            | None
40-140     | Black            | None
41         | Brown            | Yellow
42         | Red              | Yellow
43         | Orange           | Yellow
44         | Tan              | Yellow
45         | Dr. Green        | Yellow
46         | Dr. Blue         | Yellow
47-147     | Purple           | Yellow
48         | Gray             | Yellow
49         | White            | Yellow
50         | Black            | Yellow
51         | Brown            | Green
52         | Red              | Green
53         | Orange           | Green
54         | Yellow           | Green
55         | Tan              | Green
56         | Lt. Blue         | Green
57         | Purple           | Green
58         | Gray             | Green
59         | White            | Green
60         | Black            | Green
61         | Brown            | Blue
62         | Red              | Blue
63         | Orange           | Blue
64         | Yellow           | Blue
65         | Lt. Green        | Blue
66         | Tan              | Blue
67         | Pink             | Blue
68         | Gray             | Blue
69         | White            | Blue
70         | Black            | Blue
71         | Brown            | Purple
72         | Red              | Purple
73         | Orange           | Purple
74         | Yellow           | Purple
75-175     | Lt. Green        | Purple
76         | Lt. Blue         | Purple
77-177     | Tan              | Purple
78         | Gray             | Purple
79-179     | White            | Purple
80         | Black            | Purple
81         | Brown            | White
82         | Red              | White
83         | Orange           | White
84         | Yellow           | White
85         | Lt. Green        | White
86         | Lt. Blue         | White
87         | Purple           | White
88         | Gray             | White
89         | Tan              | White
90         | Black            | White
